Time,Engine rpm,Coolant temp,Engine Condition
7053.0,800.0,105.0,1.0
7054.0,800.0,105.0,1.0
7055.0,800.0,105.0,1.0
7056.0,800.0,105.0,1.0
7057.0,800.0,105.0,1.0
7058.0,800.0,105.0,1.0
7059.0,800.0,105.0,1.0
7060.0,800.0,105.0,1.0
7061.0,800.0,105.0,1.0
7062.0,800.0,105.0,1.0
7063.0,800.0,105.0,1.0
7064.0,800.0,105.0,1.0
7065.0,800.0,105.0,1.0
7066.0,800.0,105.0,1.0
7067.0,800.0,105.0,1.0
7068.0,800.0,105.0,1.0
7069.0,800.0,105.0,1.0
7070.0,800.0,105.0,1.0
7071.0,800.0,105.0,1.0
7072.0,800.0,105.0,1.0
7073.0,800.0,105.0,1.0
7074.0,800.0,105.0,1.0
7075.0,800.0,105.0,1.0
7076.0,800.0,105.0,1.0
7077.0,800.0,105.0,1.0
7078.0,800.0,105.0,1.0
7079.0,800.0,105.0,1.0
7080.0,800.0,105.0,1.0
7081.0,804.435150699777,105.0,1.0
7082.0,800.0,105.0,1.0
7083.0,800.0,105.0,1.0
7084.0,800.0,105.0,1.0
7085.0,800.0,105.0,1.0
7086.0,800.0,105.0,1.0
7087.0,800.0,105.0,1.0
7088.0,800.0,105.0,1.0
7089.0,800.0,105.0,1.0
7090.0,800.0,105.0,1.0
7091.0,893.9539048775712,105.0,1.0
7092.0,800.0,105.0,1.0
7093.0,800.0,105.0,1.0
7094.0,800.0,105.0,1.0
7095.0,800.0,105.0,1.0
7096.0,802.138266723469,105.0,1.0
7097.0,800.0,105.0,1.0
7098.0,800.0,105.0,1.0
7099.0,800.0,105.0,1.0
7100.0,832.5468271911368,105.0,1.0
7101.0,800.0,105.0,1.0
7102.0,800.0,105.0,1.0
7103.0,800.0,105.0,1.0
7104.0,800.0,105.0,1.0
7105.0,800.0,105.0,1.0
7106.0,800.0,105.0,1.0
7107.0,800.0,105.0,1.0
7108.0,800.0,105.0,1.0
7109.0,811.9743934142506,105.0,1.0
7110.0,800.0,105.0,1.0
7111.0,800.0,105.0,1.0
7112.0,800.0,105.0,1.0
7113.0,800.0,105.0,1.0
7114.0,800.0,105.0,1.0
7115.0,843.5962640400185,105.0,1.0
7116.0,866.8170037710636,105.0,1.0
7117.0,801.7907201213999,105.0,1.0
7118.0,800.0,105.0,1.0
7119.0,800.0,105.0,1.0
7120.0,800.0,105.0,1.0
7121.0,800.0,105.0,1.0
7122.0,800.0,105.0,1.0
7123.0,812.2538402020423,105.0,1.0
7124.0,800.0,105.0,1.0
7125.0,800.0,105.0,1.0
7126.0,800.0,105.0,1.0
7127.0,800.0,105.0,1.0
7128.0,813.7392108702757,105.0,1.0
7129.0,800.0,105.0,1.0
7130.0,800.0,105.0,1.0
7131.0,800.0,105.0,1.0
7132.0,800.0,105.0,1.0
7133.0,816.2605910824391,105.0,1.0
7134.0,823.8466388294474,105.0,1.0
7135.0,800.0,105.0,1.0
7136.0,800.0,105.0,1.0
7137.0,800.0,105.0,1.0
7138.0,800.0,105.0,1.0
7139.0,800.0,105.0,1.0
7140.0,800.0,105.0,1.0
7141.0,800.0,105.0,1.0
7142.0,800.0,105.0,1.0
7143.0,800.0,105.0,1.0
7144.0,800.0,105.0,1.0
7145.0,800.0,105.0,1.0
7146.0,800.0,105.0,1.0
7147.0,800.0,105.0,1.0
7148.0,800.0,105.0,1.0
7149.0,800.0,105.0,1.0
7150.0,800.0,105.0,1.0
7151.0,800.0,105.0,1.0
7152.0,800.0,105.0,1.0
7153.0,800.0,105.0,1.0
7154.0,800.0,105.0,1.0
7155.0,800.0,105.0,1.0
7156.0,800.0,105.0,1.0
7157.0,800.0,105.0,1.0
7158.0,800.0,105.0,1.0
7159.0,800.0,105.0,1.0
7160.0,800.0,105.0,1.0
7161.0,800.0,105.0,1.0
7162.0,800.0,105.0,1.0
7163.0,800.0,105.0,1.0
7164.0,800.0,105.0,1.0
7165.0,800.0,105.0,1.0
7166.0,800.0,105.0,1.0
7167.0,821.8089646252653,105.0,1.0
7168.0,800.0,105.0,1.0
7169.0,800.0,105.0,1.0
7170.0,800.0,105.0,1.0
7171.0,800.0,105.0,1.0
7172.0,800.0,105.0,1.0
7173.0,800.0,105.0,1.0
7174.0,800.0,105.0,1.0
7175.0,838.5530981129343,105.0,1.0
7176.0,838.0605330104145,105.0,1.0
7177.0,800.0,105.0,1.0
7178.0,800.0,105.0,1.0
7179.0,800.0,105.0,1.0
7180.0,800.0,105.0,1.0
7181.0,800.0,105.0,1.0
7182.0,800.0,105.0,1.0
7183.0,800.0,105.0,1.0
7184.0,800.0,105.0,1.0
7185.0,800.0,105.0,1.0
7186.0,800.0,105.0,1.0
7187.0,800.0,105.0,1.0
7188.0,800.0,105.0,1.0
7189.0,800.0,105.0,1.0
7190.0,800.0,105.0,1.0
7191.0,800.0,105.0,1.0
7192.0,800.0,105.0,1.0
7193.0,803.3154271337801,105.0,1.0
7194.0,800.0,105.0,1.0
7195.0,800.0,105.0,1.0
7196.0,800.0,105.0,1.0
7197.0,800.0,105.0,1.0
7198.0,800.0,105.0,1.0
7199.0,800.0,105.0,1.0
7200.0,800.0,105.0,1.0
7201.0,851.234764483901,105.0,1.0
7202.0,836.2922488816374,105.0,1.0
7203.0,800.0,105.0,1.0
7204.0,800.0,105.0,1.0
7205.0,800.0,105.0,1.0
7206.0,800.0,105.0,1.0
7207.0,800.0,105.0,1.0
7208.0,800.0,105.0,1.0
7209.0,800.0,105.0,1.0
7210.0,800.0,105.0,1.0
7211.0,800.0,105.0,1.0
7212.0,800.0,105.0,1.0
7213.0,800.0,105.0,1.0
7214.0,800.0,105.0,1.0
7215.0,800.0,105.0,1.0
7216.0,800.0,105.0,1.0
7217.0,800.0,105.0,1.0
7218.0,825.4250609539663,105.0,1.0
7219.0,800.0,105.0,1.0
7220.0,859.4385780880369,105.0,1.0
7221.0,800.0,105.0,1.0
7222.0,800.0,105.0,1.0
7223.0,800.0,105.0,1.0
7224.0,800.0,105.0,1.0
7225.0,800.0,105.0,1.0
7226.0,800.0,105.0,1.0
7227.0,800.0,105.0,1.0
7228.0,800.0,105.0,1.0
7229.0,800.0,105.0,1.0
7230.0,800.0,105.0,1.0
7231.0,800.0,105.0,1.0
7232.0,800.0,105.0,1.0
7233.0,800.0,105.0,1.0
7234.0,800.0,105.0,1.0
7235.0,800.0,105.0,1.0
7236.0,800.0,105.0,1.0
7237.0,800.0,105.0,1.0
7238.0,800.0,105.0,1.0
7239.0,800.0,105.0,1.0
7240.0,800.0,105.0,1.0
7241.0,800.0,105.0,1.0
7242.0,800.0,105.0,1.0
7243.0,800.0,105.0,1.0
7244.0,800.0,105.0,1.0
7245.0,800.0,105.0,1.0
7246.0,800.0,105.0,1.0
7247.0,800.0,105.0,1.0
7248.0,800.0,105.0,1.0
7249.0,800.0,105.0,1.0
7250.0,800.0,105.0,1.0
7251.0,800.0,105.0,1.0
7252.0,800.0,105.0,1.0
7253.0,800.0,105.0,1.0
7254.0,800.0,105.0,1.0
7255.0,800.0,105.0,1.0
7256.0,800.0,105.0,1.0
7257.0,800.0,105.0,1.0
7258.0,800.0,105.0,1.0
7259.0,800.0,105.0,1.0
7260.0,800.0,105.0,1.0
7261.0,800.0,105.0,1.0
7262.0,800.0,105.0,1.0
7263.0,800.0,105.0,1.0
7264.0,800.0,105.0,1.0
7265.0,800.0,105.0,1.0
7266.0,800.0,105.0,1.0
7267.0,800.0,105.0,1.0
7268.0,800.0,105.0,1.0
7269.0,800.0,105.0,1.0
7270.0,800.0,105.0,1.0
7271.0,800.0,105.0,1.0
7272.0,800.0,105.0,1.0
7273.0,800.0,105.0,1.0
7274.0,800.0,105.0,1.0
7275.0,800.0,105.0,1.0
7276.0,800.0,105.0,1.0
7277.0,800.0,105.0,1.0
7278.0,800.0,105.0,1.0
7279.0,800.0,105.0,1.0
7280.0,800.0,105.0,1.0
7281.0,800.0,105.0,1.0
7282.0,800.0,105.0,1.0
7283.0,800.0,105.0,1.0
7284.0,800.0,105.0,1.0
7285.0,800.0,105.0,1.0
7286.0,800.0,105.0,1.0
7287.0,800.0,105.0,1.0
7288.0,820.0040182654607,105.0,1.0
7289.0,823.1547760940064,105.0,1.0
7290.0,800.0,105.0,1.0
7291.0,800.0,105.0,1.0
7292.0,800.0,105.0,1.0
7293.0,800.0,105.0,1.0
7294.0,800.0,105.0,1.0
7295.0,800.0,105.0,1.0
7296.0,800.0,105.0,1.0
7297.0,806.2839743535358,105.0,1.0
7298.0,800.0,105.0,1.0
7299.0,800.0,105.0,1.0
7300.0,800.0,105.0,1.0
7301.0,800.0,105.0,1.0
7302.0,800.0,105.0,1.0
7303.0,808.8110602897491,105.0,1.0
7304.0,800.0,105.0,1.0
7305.0,800.0,105.0,1.0
7306.0,800.0,105.0,1.0
7307.0,800.0,105.0,1.0
7308.0,800.0,105.0,1.0
7309.0,800.0,105.0,1.0
7310.0,800.0,105.0,1.0
7311.0,800.0,105.0,1.0
7312.0,800.0,105.0,1.0
7313.0,800.0,105.0,1.0
7314.0,800.0,105.0,1.0
7315.0,800.0,105.0,1.0
7316.0,800.0,105.0,1.0
7317.0,881.6701974209641,105.0,1.0
7318.0,800.0,105.0,1.0
7319.0,800.0,105.0,1.0
7320.0,800.0,105.0,1.0
7321.0,800.0,105.0,1.0
7322.0,800.0,105.0,1.0
7323.0,800.0,105.0,1.0
7324.0,800.0,105.0,1.0
7325.0,800.0,105.0,1.0
7326.0,828.6042302044457,105.0,1.0
7327.0,800.0,105.0,1.0
7328.0,800.0,105.0,1.0
7329.0,802.8049934024814,105.0,1.0
7330.0,800.0,105.0,1.0
7331.0,800.0,105.0,1.0
7332.0,800.0,105.0,1.0
7333.0,800.0,105.0,1.0
7334.0,820.8489882533129,105.0,1.0
7335.0,811.2287059041101,105.0,1.0
7336.0,811.1946774896603,105.0,1.0
7337.0,800.0,105.0,1.0
7338.0,800.0,105.0,1.0
7339.0,800.0,105.0,1.0
7340.0,800.0,105.0,1.0
7341.0,800.0,105.0,1.0
7342.0,800.0,105.0,1.0
7343.0,800.0,105.0,1.0
7344.0,800.0,105.0,1.0
7345.0,800.0,105.0,1.0
7346.0,800.0,105.0,1.0
7347.0,800.0,105.0,1.0
7348.0,800.0,105.0,1.0
7349.0,800.0,105.0,1.0
7350.0,800.0,105.0,1.0
7351.0,800.0,105.0,1.0
7352.0,800.0,105.0,1.0
7353.0,800.0,105.0,1.0
7354.0,800.0,105.0,1.0
7355.0,800.0,105.0,1.0
7356.0,800.0,105.0,1.0
7357.0,800.0,105.0,1.0
7358.0,800.0,105.0,1.0
7359.0,800.0,105.0,1.0
7360.0,800.0,105.0,1.0
7361.0,800.0,105.0,1.0
7362.0,800.0,105.0,1.0
7363.0,800.0,105.0,1.0
7364.0,800.0,105.0,1.0
7365.0,800.0,105.0,1.0
7366.0,800.0,105.0,1.0
7367.0,800.0,105.0,1.0
7368.0,800.0,105.0,1.0
7369.0,800.0,105.0,1.0
7370.0,800.0,105.0,1.0
7371.0,800.2701664395045,105.0,1.0
7372.0,800.0,105.0,1.0
7373.0,800.0,105.0,1.0
7374.0,800.0,105.0,1.0
7375.0,800.0,105.0,1.0
7376.0,800.0,105.0,1.0
7377.0,800.0,105.0,1.0
7378.0,800.0,105.0,1.0
7379.0,800.0,105.0,1.0
7380.0,800.0,105.0,1.0
7381.0,800.0,105.0,1.0
7382.0,800.0,105.0,1.0
7383.0,800.0,105.0,1.0
7384.0,800.0,105.0,1.0
7385.0,800.0,105.0,1.0
7386.0,800.0,105.0,1.0
7387.0,828.4563130849274,105.0,1.0
7388.0,800.0,105.0,1.0
7389.0,800.0,105.0,1.0
7390.0,800.0,105.0,1.0
7391.0,800.0,105.0,1.0
7392.0,800.0,105.0,1.0
7393.0,800.0,105.0,1.0
7394.0,800.0,105.0,1.0
7395.0,800.0,105.0,1.0
7396.0,800.0,105.0,1.0
7397.0,800.9331162629604,105.0,1.0
7398.0,800.0,105.0,1.0
7399.0,877.2122224589648,105.0,1.0
7400.0,819.1408072524596,105.0,1.0
7401.0,800.0,105.0,1.0
7402.0,800.0,105.0,1.0
7403.0,800.0,105.0,1.0
7404.0,800.0,105.0,1.0
7405.0,800.0,105.0,1.0
7406.0,800.0,105.0,1.0
7407.0,800.0,105.0,1.0
7408.0,800.0,105.0,1.0
7409.0,800.0,105.0,1.0
7410.0,800.0,105.0,1.0
7411.0,800.0,105.0,1.0
7412.0,800.0,105.0,1.0
7413.0,849.4104104427952,105.0,1.0
7414.0,800.0,105.0,1.0
7415.0,800.0,105.0,1.0
7416.0,800.0,105.0,1.0
7417.0,800.0,105.0,1.0
7418.0,800.0,105.0,1.0
7419.0,800.0,105.0,1.0
7420.0,800.0,105.0,1.0
7421.0,800.0,105.0,1.0
7422.0,800.0,105.0,1.0
7423.0,800.0,105.0,1.0
7424.0,800.0,105.0,1.0
7425.0,800.0,105.0,1.0
7426.0,800.0,105.0,1.0
7427.0,800.0,105.0,1.0
7428.0,800.0,105.0,1.0
7429.0,800.0,105.0,1.0
7430.0,800.0,105.0,1.0
7431.0,800.0,105.0,1.0
7432.0,800.0,105.0,1.0
7433.0,800.0,105.0,1.0
7434.0,800.0,105.0,1.0
7435.0,800.5542467325618,105.0,1.0
7436.0,800.0,105.0,1.0
7437.0,800.0,105.0,1.0
7438.0,802.2735473253388,105.0,1.0
7439.0,800.0,105.0,1.0
7440.0,800.0,105.0,1.0
7441.0,800.0,105.0,1.0
7442.0,800.0,105.0,1.0
7443.0,800.0,105.0,1.0
7444.0,842.4045996379972,105.0,1.0
7445.0,812.1532275853094,105.0,1.0
7446.0,800.0,105.0,1.0
7447.0,800.0,105.0,1.0
7448.0,800.0,105.0,1.0
7449.0,800.0,105.0,1.0
7450.0,800.0,105.0,1.0
7451.0,800.0,105.0,1.0
7452.0,800.0,105.0,1.0
7453.0,800.0,105.0,1.0
7454.0,800.0,105.0,1.0
7455.0,800.0,105.0,1.0
7456.0,800.0,105.0,1.0
7457.0,800.0,105.0,1.0
7458.0,800.0,105.0,1.0
7459.0,800.0,105.0,1.0
7460.0,800.0,105.0,1.0
7461.0,800.0,105.0,1.0
7462.0,800.0,105.0,1.0
7463.0,800.0,105.0,1.0
7464.0,800.0,105.0,1.0
7465.0,800.0,105.0,1.0
7466.0,800.0,105.0,1.0
7467.0,800.0,105.0,1.0
7468.0,800.0,105.0,1.0
7469.0,800.0,105.0,1.0
7470.0,800.0,105.0,1.0
7471.0,800.0,105.0,1.0
7472.0,800.0,105.0,1.0
7473.0,800.0,105.0,1.0
7474.0,800.0,105.0,1.0
7475.0,800.0,105.0,1.0
7476.0,800.0,105.0,1.0
7477.0,800.0,105.0,1.0
7478.0,800.0,105.0,1.0
7479.0,805.2175614278274,105.0,1.0
7480.0,801.3991234383466,105.0,1.0
7481.0,800.0,105.0,1.0
7482.0,800.0,105.0,1.0
7483.0,800.0,105.0,1.0
7484.0,800.0,105.0,1.0
7485.0,800.0,105.0,1.0
7486.0,800.0,105.0,1.0
7487.0,800.0,105.0,1.0
7488.0,800.0,105.0,1.0
7489.0,800.0,105.0,1.0
7490.0,800.0,105.0,1.0
7491.0,800.0,105.0,1.0
7492.0,800.0,105.0,1.0
7493.0,802.9212794550394,105.0,1.0
7494.0,800.0,105.0,1.0
7495.0,800.0,105.0,1.0
7496.0,800.0,105.0,1.0
7497.0,800.0,105.0,1.0
7498.0,800.0,105.0,1.0
7499.0,800.0,105.0,1.0
7500.0,813.727724788461,105.0,1.0
7501.0,800.0,105.0,1.0
7502.0,800.0,105.0,1.0
7503.0,800.0,105.0,1.0
7504.0,800.0,105.0,1.0
7505.0,800.0,105.0,1.0
7506.0,800.0,105.0,1.0
7507.0,800.0,105.0,1.0
7508.0,836.9248025573565,105.0,1.0
7509.0,800.0,105.0,1.0
7510.0,800.0,105.0,1.0
7511.0,800.0,105.0,1.0
7512.0,800.0,105.0,1.0
7513.0,800.0,105.0,1.0
7514.0,800.0,105.0,1.0
7515.0,800.0,105.0,1.0
7516.0,834.3207469596518,105.0,1.0
7517.0,800.0,105.0,1.0
7518.0,800.0,105.0,1.0
7519.0,800.0,105.0,1.0
7520.0,800.0,105.0,1.0
7521.0,800.0,105.0,1.0
7522.0,800.0,105.0,1.0
7523.0,800.0,105.0,1.0
7524.0,800.0,105.0,1.0
7525.0,800.0,105.0,1.0
7526.0,800.0,105.0,1.0
7527.0,800.0,105.0,1.0
7528.0,800.0,105.0,1.0
7529.0,800.0,105.0,1.0
7530.0,800.0,105.0,1.0
7531.0,800.0,105.0,1.0
7532.0,800.0,105.0,1.0
7533.0,800.0,105.0,1.0
7534.0,800.0,105.0,1.0
7535.0,800.0,105.0,1.0
7536.0,800.0,105.0,1.0
7537.0,800.0,105.0,1.0
7538.0,800.0,105.0,1.0
7539.0,800.0,105.0,1.0
7540.0,800.0,105.0,1.0
7541.0,800.0,105.0,1.0
7542.0,800.0,105.0,1.0
7543.0,800.0,105.0,1.0
7544.0,800.0,105.0,1.0
7545.0,800.0,105.0,1.0
7546.0,800.0,105.0,1.0
7547.0,821.8046970819136,105.0,1.0
7548.0,800.0,105.0,1.0
7549.0,800.0,105.0,1.0
7550.0,800.0,105.0,1.0
7551.0,800.0,105.0,1.0
7552.0,800.0,105.0,1.0
7553.0,800.0,105.0,1.0
7554.0,800.0,105.0,1.0
7555.0,800.0,105.0,1.0
7556.0,800.0,105.0,1.0
7557.0,800.0,105.0,1.0
7558.0,800.0,105.0,1.0
7559.0,800.0,105.0,1.0
7560.0,800.0,105.0,1.0
7561.0,800.0,105.0,1.0
7562.0,800.0,105.0,1.0
7563.0,800.0,105.0,1.0
7564.0,800.0,105.0,1.0
7565.0,800.0,105.0,1.0
7566.0,800.0,105.0,1.0
7567.0,800.0,105.0,1.0
7568.0,800.0,105.0,1.0
7569.0,812.6724159068591,105.0,1.0
7570.0,800.0,105.0,1.0
7571.0,800.0,105.0,1.0
7572.0,800.0,105.0,1.0
7573.0,800.0,105.0,1.0
7574.0,800.0,105.0,1.0
7575.0,800.0,105.0,1.0
7576.0,800.0,105.0,1.0
7577.0,801.8290720955046,105.0,1.0
7578.0,800.0,105.0,1.0
7579.0,800.0,105.0,1.0
7580.0,800.0,105.0,1.0
7581.0,800.0,105.0,1.0
7582.0,800.0,105.0,1.0
7583.0,800.0,105.0,1.0
7584.0,800.0,105.0,1.0
7585.0,800.0,105.0,1.0
7586.0,800.0,105.0,1.0
7587.0,800.0,105.0,1.0
7588.0,800.0,105.0,1.0
7589.0,800.0,105.0,1.0
7590.0,801.7528583037505,105.0,1.0
7591.0,800.0,105.0,1.0
7592.0,800.0,105.0,1.0
7593.0,800.0,105.0,1.0
7594.0,800.0,105.0,1.0
7595.0,800.0,105.0,1.0
7596.0,800.0,105.0,1.0
7597.0,800.0,105.0,1.0
7598.0,800.0,105.0,1.0
7599.0,800.0,105.0,1.0
7600.0,814.273448157274,105.0,1.0
7601.0,800.0,105.0,1.0
7602.0,800.0,105.0,1.0
7603.0,800.0,105.0,1.0
7604.0,800.0,105.0,1.0
7605.0,800.0,105.0,1.0
7606.0,800.0,105.0,1.0
7607.0,800.0,105.0,1.0
7608.0,800.0,105.0,1.0
7609.0,800.0,105.0,1.0
7610.0,800.0,105.0,1.0
7611.0,800.0,105.0,1.0
7612.0,800.0,105.0,1.0
7613.0,800.0,105.0,1.0
7614.0,800.0,105.0,1.0
7615.0,800.0,105.0,1.0
7616.0,801.7591903858756,105.0,1.0
7617.0,800.0,105.0,1.0
7618.0,800.0,105.0,1.0
7619.0,800.0,105.0,1.0
7620.0,800.0,105.0,1.0
7621.0,800.0,105.0,1.0
7622.0,800.0,105.0,1.0
7623.0,800.0,105.0,1.0
7624.0,800.0,105.0,1.0
7625.0,800.0,105.0,1.0
7626.0,800.0,105.0,1.0
7627.0,800.0,105.0,1.0
7628.0,800.0,105.0,1.0
7629.0,800.0,105.0,1.0
7630.0,800.0,105.0,1.0
7631.0,800.0,105.0,1.0
7632.0,800.0,105.0,1.0
7633.0,800.0,105.0,1.0
7634.0,800.0,105.0,1.0
7635.0,800.0,105.0,1.0
7636.0,800.0,105.0,1.0
7637.0,800.0,105.0,1.0
7638.0,800.0,105.0,1.0
7639.0,851.346995024975,105.0,1.0
7640.0,800.0,105.0,1.0
7641.0,800.0,105.0,1.0
7642.0,800.0,105.0,1.0
7643.0,800.0,105.0,1.0
7644.0,800.0,105.0,1.0
7645.0,800.0,105.0,1.0
7646.0,800.0,105.0,1.0
7647.0,800.0,105.0,1.0
7648.0,800.0,105.0,1.0
7649.0,800.0,105.0,1.0
7650.0,800.0,105.0,1.0
7651.0,810.2971186614566,105.0,1.0
7652.0,800.0,105.0,1.0
7653.0,806.7345519023612,105.0,1.0
7654.0,800.0,105.0,1.0
7655.0,800.0,105.0,1.0
7656.0,883.043304319857,105.0,1.0
7657.0,827.3652941716065,105.0,1.0
7658.0,800.0,105.0,1.0
7659.0,800.0,105.0,1.0
7660.0,800.0,105.0,1.0
7661.0,800.0,105.0,1.0
7662.0,800.0,105.0,1.0
7663.0,800.0,105.0,1.0
7664.0,800.0,105.0,1.0
7665.0,800.0,105.0,1.0
7666.0,800.0,105.0,1.0
7667.0,800.0,105.0,1.0
7668.0,849.5507203555521,105.0,1.0
7669.0,800.0,105.0,1.0
7670.0,800.0,105.0,1.0
7671.0,800.0,105.0,1.0
7672.0,800.0,105.0,1.0
7673.0,800.0,105.0,1.0
7674.0,800.0,105.0,1.0
7675.0,800.0,105.0,1.0
7676.0,800.0,105.0,1.0
7677.0,800.0,105.0,1.0
7678.0,800.0,105.0,1.0
7679.0,800.0,105.0,1.0
7680.0,800.0,105.0,1.0
7681.0,800.0,105.0,1.0
7682.0,800.0,105.0,1.0
7683.0,800.0,105.0,1.0
7684.0,800.0,105.0,1.0
7685.0,800.0,105.0,1.0
7686.0,800.0,105.0,1.0
7687.0,807.955958707156,105.0,1.0
7688.0,800.0,105.0,1.0
7689.0,800.0,105.0,1.0
7690.0,800.0,105.0,1.0
7691.0,800.0,105.0,1.0
7692.0,800.0,105.0,1.0
7693.0,800.0,105.0,1.0
7694.0,800.0,105.0,1.0
7695.0,800.0,105.0,1.0
7696.0,800.0,105.0,1.0
7697.0,800.0,105.0,1.0
7698.0,800.0,105.0,1.0
7699.0,800.0,105.0,1.0
7700.0,800.0,105.0,1.0
7701.0,800.0,105.0,1.0
7702.0,800.0,105.0,1.0
7703.0,800.0,105.0,1.0
7704.0,800.0,105.0,1.0
7705.0,837.2072975729311,105.0,1.0
7706.0,800.0,105.0,1.0
7707.0,800.0,105.0,1.0
7708.0,851.9772414952615,105.0,1.0
7709.0,800.0,105.0,1.0
7710.0,800.0,105.0,1.0
7711.0,800.0,105.0,1.0
7712.0,800.0,105.0,1.0
7713.0,800.0,105.0,1.0
7714.0,800.0,105.0,1.0
7715.0,800.0,105.0,1.0
7716.0,800.0,105.0,1.0
7717.0,800.0,105.0,1.0
7718.0,800.0,105.0,1.0
7719.0,800.0,105.0,1.0
7720.0,800.0,105.0,1.0
7721.0,800.0,105.0,1.0
7722.0,800.0,105.0,1.0
7723.0,800.0,105.0,1.0
7724.0,800.0,105.0,1.0
7725.0,800.0,105.0,1.0
7726.0,800.0,105.0,1.0
7727.0,800.0,105.0,1.0
7728.0,800.0,105.0,1.0
7729.0,800.0,105.0,1.0
7730.0,800.0,105.0,1.0
7731.0,800.0,105.0,1.0
7732.0,800.0,105.0,1.0
7733.0,800.0,105.0,1.0
7734.0,800.0,105.0,1.0
7735.0,800.0,105.0,1.0
7736.0,805.8288864863625,105.0,1.0
7737.0,800.0,105.0,1.0
7738.0,800.0,105.0,1.0
7739.0,800.0,105.0,1.0
7740.0,800.0,105.0,1.0
7741.0,800.0,105.0,1.0
7742.0,800.0,105.0,1.0
7743.0,800.0,105.0,1.0
7744.0,800.0,105.0,1.0
7745.0,800.0,105.0,1.0
7746.0,800.0,105.0,1.0
7747.0,800.0,105.0,1.0
7748.0,800.0,105.0,1.0
7749.0,800.0,105.0,1.0
7750.0,800.0,105.0,1.0
7751.0,800.0,105.0,1.0
7752.0,800.0,105.0,1.0
7753.0,800.0,105.0,1.0
7754.0,800.0,105.0,1.0
7755.0,800.0,105.0,1.0
7756.0,800.0,105.0,1.0
7757.0,800.0,105.0,1.0
7758.0,800.0,105.0,1.0
7759.0,800.0,105.0,1.0
7760.0,800.0,105.0,1.0
7761.0,800.0,105.0,1.0
7762.0,800.0,105.0,1.0
7763.0,800.0,105.0,1.0
7764.0,800.0,105.0,1.0
7765.0,800.0,105.0,1.0
7766.0,800.0,105.0,1.0
7767.0,800.0,105.0,1.0
7768.0,800.0,105.0,1.0
7769.0,800.0,105.0,1.0
7770.0,800.0,105.0,1.0
7771.0,800.0,105.0,1.0
7772.0,800.0,105.0,1.0
7773.0,800.0,105.0,1.0
7774.0,800.0,105.0,1.0
7775.0,800.0,105.0,1.0
7776.0,800.0,105.0,1.0
7777.0,810.976931757922,105.0,1.0
7778.0,800.0,105.0,1.0
7779.0,800.0,105.0,1.0
7780.0,800.0,105.0,1.0
7781.0,800.0,105.0,1.0
7782.0,800.0,105.0,1.0
7783.0,800.0,105.0,1.0
7784.0,836.2881012975422,105.0,1.0
7785.0,800.0,105.0,1.0
7786.0,800.0,105.0,1.0
7787.0,800.0,105.0,1.0
7788.0,800.0,105.0,1.0
7789.0,800.0,105.0,1.0
7790.0,800.0,105.0,1.0
7791.0,800.0,105.0,1.0
7792.0,800.0,105.0,1.0
7793.0,800.0,105.0,1.0
7794.0,800.0,105.0,1.0
7795.0,800.0,105.0,1.0
7796.0,800.0,105.0,1.0
7797.0,800.0,105.0,1.0
7798.0,803.0298916583527,105.0,1.0
7799.0,800.0,105.0,1.0
7800.0,829.651045798072,105.0,1.0
7801.0,800.0,105.0,1.0
7802.0,800.0,105.0,1.0
7803.0,800.0,105.0,1.0
7804.0,800.0,105.0,1.0
7805.0,800.0,105.0,1.0
7806.0,800.0,105.0,1.0
7807.0,800.0,105.0,1.0
7808.0,800.0,105.0,1.0
7809.0,800.0,105.0,1.0
7810.0,800.0,105.0,1.0
7811.0,800.0,105.0,1.0
7812.0,800.0,105.0,1.0
7813.0,800.0,105.0,1.0
7814.0,800.0,105.0,1.0
7815.0,808.1990599690064,105.0,1.0
7816.0,800.0,105.0,1.0
7817.0,800.0,105.0,1.0
7818.0,800.0,105.0,1.0
7819.0,800.0,105.0,1.0
7820.0,800.0,105.0,1.0
7821.0,800.0,105.0,1.0
7822.0,800.0,105.0,1.0
7823.0,830.5930010892465,105.0,1.0
7824.0,800.0,105.0,1.0
7825.0,800.0,105.0,1.0
7826.0,800.0,105.0,1.0
7827.0,800.0,105.0,1.0
7828.0,800.0,105.0,1.0
7829.0,800.0,105.0,1.0
7830.0,800.0,105.0,1.0
7831.0,800.0,105.0,1.0
7832.0,800.0,105.0,1.0
7833.0,809.7854125775422,105.0,1.0
7834.0,800.0,105.0,1.0
7835.0,800.0,105.0,1.0
7836.0,800.0,105.0,1.0
7837.0,800.0,105.0,1.0
7838.0,800.0,105.0,1.0
7839.0,800.0,105.0,1.0
7840.0,800.0,105.0,1.0
7841.0,800.0,105.0,1.0
7842.0,816.2423492121547,105.0,1.0
7843.0,800.0,105.0,1.0
7844.0,800.0,105.0,1.0
7845.0,800.0,105.0,1.0
7846.0,800.0,105.0,1.0
7847.0,800.0,105.0,1.0
7848.0,800.0,105.0,1.0
7849.0,800.0,105.0,1.0
7850.0,800.0,105.0,1.0
7851.0,806.8701750284214,105.0,1.0
7852.0,808.6740893101248,105.0,1.0
7853.0,800.0,105.0,1.0
7854.0,800.0,105.0,1.0
7855.0,800.0,105.0,1.0
7856.0,813.303749565378,105.0,1.0
7857.0,800.0,105.0,1.0
